creator_id,Company_Flag,MultipleName_Flag,PoorName_Flag,MultiCampaigns
671527497,0,0,1,0
550323322,0,0,1,0
2091539073,0,0,0,0
483062582,0,0,0,0
1358860923,0,1,0,0
1783788183,0,1,0,0
463016730,0,1,0,0
1801020535,0,1,0,0
1500927496,0,1,0,0
1823627397,0,1,0,0
1333645341,0,1,0,0
194644114,0,0,0,0
1892166188,0,1,0,0
944639537,0,0,0,0
702863423,0,1,0,0
880893242,0,0,0,0
445812678,0,0,0,0
717409104,1,0,0,0
277564704,0,1,0,0
1214021355,0,0,0,0
130456043,1,0,0,0
427919718,0,1,0,0
2010187811,1,0,0,0
1037068148,0,0,0,0
1587767708,1,0,0,0
670331900,1,0,0,0
1333038592,0,1,0,0
300694880,0,1,0,0
561303485,0,0,0,0
1005137358,0,0,0,0
494213904,0,0,0,0
1187830051,1,0,0,2
433035186,0,1,0,0
1902166024,1,0,0,0
1677338627,1,0,0,0
1637557028,0,0,0,3
482102246,0,1,0,0
1371943093,1,0,0,0
1662610611,1,0,0,0
639951292,0,1,0,0
1740411623,0,1,0,0
1379122568,0,1,0,0
1058733720,0,0,0,0
1847890759,0,0,0,0
837229404,0,1,0,0
1380556829,0,1,0,2
814592424,0,1,0,0
403384201,0,1,0,0
106925962,0,1,0,0
2115640485,0,1,0,0
1821455178,0,1,0,0
1679366617,0,1,0,2
450918829,0,1,0,0
767363059,0,0,0,0
674316140,0,1,0,0
686228300,1,0,0,0
128848443,0,1,0,0
95105404,0,1,0,0
1889855568,1,0,0,0
441901617,1,0,0,0
2127158431,0,1,0,0
2051274629,0,1,0,0
340408521,0,1,0,0
1474027091,0,0,0,0
1934091257,1,0,0,0
886624024,0,1,0,0
468798342,1,0,0,0
960380140,1,0,0,0
68336184,0,1,0,0
123605888,0,1,0,0
1862071804,0,0,0,0
851745896,0,1,0,0
860266270,0,0,0,0
1909434382,1,0,0,0
2130468,0,0,0,0
1818172361,1,0,0,0
1983123568,0,1,0,0
